CAD.CDW.ID,CAD.Event.Number,General.Offense.Number,Event.Clearance.Code,Event.Clearance.Description,Event.Clearance.SubGroup,Event.Clearance.Group,MM,DD,YYYY,TIME,Hundred.Block.Location,District.Sector,Zone.Beat,Census.Tract,Longitude,Latitude,Incident.Location,Initial.Type.Description,Initial.Type.Subgroup,Initial.Type.Group,At.Scene.Time
22103,10000255703,2010255703,062,BICYCLE THEFT,THEFT,BIKE,07,24,2010,09:54:00,20XX BLOCK OF NW MARKET ST,J,J2,4700.5013,-122.383928626,47.668677585,(47.668677585, -122.383928626),,,,
22506,10000256234,2010256234,062,BICYCLE THEFT,THEFT,BIKE,07,25,2010,08:28:00,2XX BLOCK OF N 95TH ST,N,N2,1700.7009,-122.356047116,47.697840284,(47.697840284, -122.356047116),,,,
22755,10000256566,2010256566,062,BICYCLE THEFT,THEFT,BIKE,07,25,2010,07:09:00,15XX BLOCK OF 6TH AVE,D,D3,8200.1004,-122.334918449,47.611639429,(47.611639429, -122.334918449),,,,
23377,10000257495,2010257495,062,BICYCLE THEFT,THEFT,BIKE,07,26,2010,11:31:00,72XX BLOCK OF 34TH AVE NW,B,B2,3100.6001,-122.401093073,47.681291793,(47.681291793, -122.401093073),,,,
23437,10000257598,2010257598,062,BICYCLE THEFT,THEFT,BIKE,07,26,2010,12:31:00,80XX BLOCK OF GREEN LAKE DR N,J,J1,2700.6015,-122.341126611,47.687298259,(47.687298259, -122.341126611),,,,
23489,10000257795,2010257795,062,BICYCLE THEFT,THEFT,BIKE,07,26,2010,02:27:00,11XX BLOCK OF E PIKE ST,C,C2,7500.4006,-122.3174884,47.614099103,(47.614099103, -122.3174884),,,,
23547,10000257747,2010257747,062,BICYCLE THEFT,THEFT,BIKE,07,26,2010,03:18:00,62XX BLOCK OF NE 65TH ST,L,L3,4100.1006,-122.259813013,47.675795911,(47.675795911, -122.259813013),,,,
23726,10000258183,2010258183,062,BICYCLE THEFT,THEFT,BIKE,07,26,2010,08:11:00,27XX BLOCK OF MONTLAKE BLVD E,C,C3,6200.1006,-122.304614027,47.645410215,(47.645410215, -122.304614027),,,,
23926,10000258253,2010258253,062,BICYCLE THEFT,THEFT,BIKE,07,26,2010,09:45:00,XX BLOCK OF MONTLAKE CUT CONNCTR TRL,C,C3,6200.1006,-122.305247809,47.644438517,(47.644438517, -122.305247809),,,,
24473,10000259278,2010259278,062,BICYCLE THEFT,THEFT,BIKE,07,27,2010,03:28:00,12XX BLOCK OF N 45TH ST,J,J3,5000.3001,-122.342572051,47.661385211,(47.661385211, -122.342572051),,,,
24582,10000255976,2010255976,062,BICYCLE THEFT,THEFT,BIKE,07,25,2010,01:35:00,10XX BLOCK OF E PIKE ST,E,E2,7500.4007,-122.318793866,47.614089799,(47.614089799, -122.318793866),,,,
24722,10000260899,2010260899,062,BICYCLE THEFT,THEFT,BIKE,07,28,2010,08:54:00,22XX BLOCK OF 1ST AVE,M,M1,8002.2001,-122.34586311,47.612990814,(47.612990814, -122.34586311),,,,
25070,10000260207,2010260207,062,BICYCLE THEFT,THEFT,BIKE,07,28,2010,12:12:00,28XX BLOCK OF S JACKSON ST,G,G3,8900.6014,-122.295625737,47.599210995,(47.599210995, -122.295625737),,,,
25847,10000259516,2010259516,062,BICYCLE THEFT,THEFT,BIKE,07,27,2010,07:16:00,9XX BLOCK OF 12TH AVE,E,E2,8600.2001,-122.316779122,47.610978844,(47.610978844, -122.316779122),,,,
26512,10000262096,2010262096,062,BICYCLE THEFT,THEFT,BIKE,07,29,2010,04:50:00,1XX BLOCK OF 12TH AVE,E,E3,8600.3010,-122.316781848,47.602189638,(47.602189638, -122.316781848),,,,
27187,10000262983,2010262983,062,BICYCLE THEFT,THEFT,BIKE,07,30,2010,10:09:00,6XX BLOCK OF NW 85TH ST,B,B3,2900.3001,-122.364656721,47.69064793,(47.69064793, -122.364656721),,,,
27198,10000263125,2010263125,062,BICYCLE THEFT,THEFT,BIKE,07,30,2010,12:40:00,4XX BLOCK OF NE 45TH ST,J,J3,5200.4009,-122.323496357,47.661336027,(47.661336027, -122.323496357),,,,
27199,10000263152,2010263152,062,BICYCLE THEFT,THEFT,BIKE,07,30,2010,12:42:00,17XX BLOCK OF SUMMIT AVE,E,E1,7400.4003,-122.325552282,47.617040615,(47.617040615, -122.325552282),,,,
28131,10000264462,2010264462,062,BICYCLE THEFT,THEFT,BIKE,07,31,2010,10:16:00,36XX BLOCK OF MERIDIAN AVE N,J,J3,5400.2011,-122.333876687,47.651228227,(47.651228227, -122.333876687),,,,
28258,10000264702,2010264702,062,BICYCLE THEFT,THEFT,BIKE,07,31,2010,02:16:00,4XX BLOCK OF E OLIVE ST,E,E2,8400.1005,-122.326486357,47.616339662,(47.616339662, -122.326486357),,,,
28495,10000264828,2010264828,062,BICYCLE THEFT,THEFT,BIKE,07,31,2010,06:35:00,107XX BLOCK OF 30TH AVE NE,L,L2,1000.2000,-122.296227484,47.707543361,(47.707543361, -122.296227484),,,,
29112,10000265880,2010265880,062,BICYCLE THEFT,THEFT,BIKE,08,01,2010,01:28:00,53XX BLOCK OF SW MANNING ST,W,W2,9702.4007,-122.401455751,47.571820762,(47.571820762, -122.401455751),,,,
29113,10000265958,2010265958,062,BICYCLE THEFT,THEFT,BIKE,08,01,2010,01:28:00,9XX BLOCK OF SUMMIT AVE E,C,C1,6500.4008,-122.325589452,47.627010134,(47.627010134, -122.325589452),,,,
29810,10000266875,2010266875,062,BICYCLE THEFT,THEFT,BIKE,08,02,2010,10:58:00,45XX BLOCK OF DENSMORE AVE N,J,J3,5000.1012,-122.33768581,47.66175711,(47.66175711, -122.33768581),,,,
30148,10000267423,2010267423,062,BICYCLE THEFT,THEFT,BIKE,08,02,2010,05:38:00,5XX BLOCK OF 15TH AVE E,C,C2,7500.1000,-122.312615051,47.623756495,(47.623756495, -122.312615051),,,,
30208,10000267371,2010267371,062,BICYCLE THEFT,THEFT,BIKE,08,02,2010,05:53:00,9XX BLOCK OF E PINE ST,C,C2,7500.5008,-122.319740826,47.615242997,(47.615242997, -122.319740826),,,,
30241,10000267470,2010267470,062,BICYCLE THEFT,THEFT,BIKE,08,02,2010,08:18:00,9XX BLOCK OF 29TH AVE,G,G3,8800.1004,-122.294947222,47.610843736,(47.610843736, -122.294947222),,,,
30383,10000267919,2010267919,062,BICYCLE THEFT,THEFT,BIKE,08,03,2010,12:28:00,17XX BLOCK OF BELMONT AVE,E,E1,7400.4003,-122.324495885,47.617046946,(47.617046946, -122.324495885),,,,
31095,10000268645,2010268645,062,BICYCLE THEFT,THEFT,BIKE,08,03,2010,03:55:00,17XX BLOCK OF BROADWAY,E,E1,8400.1000,-122.320826476,47.616987304,(47.616987304, -122.320826476),,,,
31247,10000269010,2010269010,062,BICYCLE THEFT,THEFT,BIKE,08,03,2010,06:55:00,85XX BLOCK OF NESBIT AVE N,N,N2,1800.2008,-122.343458336,47.69146392,(47.69146392, -122.343458336),,,,
31338,10000269160,2010269160,062,BICYCLE THEFT,THEFT,BIKE,08,03,2010,08:50:00,5XX BLOCK OF 12TH AVE E,C,C2,7500.3001,-122.316745745,47.623688203,(47.623688203, -122.316745745),,,,
34837,10000206512,2010206512,062,BICYCLE THEFT,THEFT,BIKE,06,18,2010,03:50:00,17XX BLOCK OF N 135TH ST,N,N1,600.1014,-122.337582725,47.726854515,(47.726854515, -122.337582725),,,,
34838,10000215529,2010215529,062,BICYCLE THEFT,THEFT,BIKE,06,25,2010,08:36:00,2XX BLOCK OF NE 45TH ST,J,J3,5200.4007,-122.325643344,47.661346745,(47.661346745, -122.325643344),,,,
34893,10000274266,2010274266,062,BICYCLE THEFT,THEFT,BIKE,08,07,2010,12:36:00,7XX BLOCK OF 3RD AVE,K,K2,8100.2030,-122.332388311,47.603840506,(47.603840506, -122.332388311),,,,
35085,10000274606,2010274606,062,BICYCLE THEFT,THEFT,BIKE,08,07,2010,06:22:00,3XX BLOCK OF E PIKE ST,E,E2,8400.1011,-122.327346531,47.614091302,(47.614091302, -122.327346531),,,,
35326,10000274856,2010274856,062,BICYCLE THEFT,THEFT,BIKE,08,07,2010,10:45:00,27XX BLOCK OF BOYER AVE E,C,C1,6100.2001,-122.317075652,47.645050213,(47.645050213, -122.317075652),,,,
36236,10000276212,2010276212,062,BICYCLE THEFT,THEFT,BIKE,08,09,2010,03:29:00,41XX BLOCK OF WHITMAN AVE N,J,J3,5000.2011,-122.34594889,47.657196122,(47.657196122, -122.34594889),,,,
36697,10000276999,2010276999,062,BICYCLE THEFT,THEFT,BIKE,08,09,2010,05:43:00,16XX BLOCK OF N 47TH ST,J,J3,5000.1010,-122.338412285,47.662866817,(47.662866817, -122.338412285),,,,
37309,10000277783,2010277783,062,BICYCLE THEFT,THEFT,BIKE,08,10,2010,09:07:00,2XX BLOCK OF COLUMBIA ST,K,K2,8100.2029,-122.333269488,47.603964969,(47.603964969, -122.333269488),,,,
37420,10000277768,2010277768,062,BICYCLE THEFT,THEFT,BIKE,08,10,2010,12:22:00,19XX BLOCK OF NE 85TH ST,U,U1,2600.1000,-122.307391652,47.690307273,(47.690307273, -122.307391652),,,,
37453,10000277799,2010277799,062,BICYCLE THEFT,THEFT,BIKE,08,10,2010,01:14:00,55XX BLOCK OF 20TH AVE NE,U,U3,4400.2007,-122.306487591,47.668855657,(47.668855657, -122.306487591),,,,
37915,10000278296,2010278296,062,BICYCLE THEFT,THEFT,BIKE,08,10,2010,05:07:00,21XX BLOCK OF E YESLER WAY,G,G2,9000.1001,-122.304391489,47.60167042,(47.60167042, -122.304391489),,,,
37918,10000278484,2010278484,062,BICYCLE THEFT,THEFT,BIKE,08,10,2010,08:49:00,21XX BLOCK OF E YESLER WAY,G,G2,9000.1001,-122.304391489,47.60167042,(47.60167042, -122.304391489),,,,
37949,10000278548,2010278548,062,BICYCLE THEFT,THEFT,BIKE,08,10,2010,10:35:00,65XX BLOCK OF 35TH AVE NE,L,L3,3800.1008,-122.290299186,47.676691474,(47.676691474, -122.290299186),,,,
38739,10000279806,2010279806,062,BICYCLE THEFT,THEFT,BIKE,08,11,2010,08:19:00,48XX BLOCK OF S FINDLAY ST,R,R3,10200.3001,-122.271282439,47.551895811,(47.551895811, -122.271282439),,,,
38749,10000279291,2010279291,062,BICYCLE THEFT,THEFT,BIKE,08,11,2010,06:26:00,14XX BLOCK OF E JOHN ST,C,C2,7500.1010,-122.313910195,47.619958984,(47.619958984, -122.313910195),,,,
38845,10000279856,2010279856,062,BICYCLE THEFT,THEFT,BIKE,08,11,2010,08:44:00,48XX BLOCK OF S FINDLAY ST,R,R3,10200.3001,-122.271282439,47.551895811,(47.551895811, -122.271282439),,,,
38894,10000279893,2010279893,062,BICYCLE THEFT,THEFT,BIKE,08,11,2010,09:26:00,12XX BLOCK OF N 47TH ST,J,J3,5000.4025,-122.342934727,47.662865271,(47.662865271, -122.342934727),,,,
39336,10000280552,2010280552,062,BICYCLE THEFT,THEFT,BIKE,08,12,2010,11:41:00,22XX BLOCK OF E LYNN ST,C,C3,6200.5017,-122.303626456,47.639535769,(47.639535769, -122.303626456),,,,
39412,10000280692,2010280692,062,BICYCLE THEFT,THEFT,BIKE,08,12,2010,01:16:00,5XX BLOCK OF WALL ST,M,M1,7200.2004,-122.344881696,47.61768872,(47.61768872, -122.344881696),,,,
39512,10000280626,2010280626,062,BICYCLE THEFT,THEFT,BIKE,08,12,2010,12:41:00,83XX BLOCK OF 55TH AVE NE,L,L3,2200.5002,-122.269447728,47.689671645,(47.689671645, -122.269447728),,,,
39630,10000281117,2010281117,062,BICYCLE THEFT,THEFT,BIKE,08,12,2010,06:24:00,12XX BLOCK OF 1ST AVE S,K,K3,9300.2016,-122.334194979,47.591353941,(47.591353941, -122.334194979),,,,
39665,10000281074,2010281074,062,BICYCLE THEFT,THEFT,BIKE,08,12,2010,06:43:00,8XX BLOCK OF 38TH AVE,G,G3,7800.4002,-122.284689827,47.609759465,(47.609759465, -122.284689827),,,,
40082,10000281743,2010281743,062,BICYCLE THEFT,THEFT,BIKE,08,13,2010,07:28:00,50XX BLOCK OF S BRANDON ST,R,R3,10200.4008,-122.270381625,47.553358532,(47.553358532, -122.270381625),,,,
40610,10000282466,2010282466,062,BICYCLE THEFT,THEFT,BIKE,08,13,2010,08:47:00,5XX BLOCK OF 28TH AVE,G,G3,8800.2006,-122.295848977,47.607083668,(47.607083668, -122.295848977),,,,
42066,10000284542,2010284542,062,BICYCLE THEFT,THEFT,BIKE,08,15,2010,02:16:00,10XX BLOCK OF UNION ST,D,D3,8300.2007,-122.328560494,47.612239484,(47.612239484, -122.328560494),,,,
42205,10000284990,2010284990,062,BICYCLE THEFT,THEFT,BIKE,08,15,2010,07:56:00,47XX BLOCK OF UNIVERSITY WAY NE,U,U3,5301.2000,-122.313087957,47.663996256,(47.663996256, -122.313087957),,,,
42864,10000285759,2010285759,062,BICYCLE THEFT,THEFT,BIKE,08,16,2010,01:10:00,XX BLOCK OF EASTLAKE AVE E,C,C1,6100.1002,-122.321288855,47.651910775,(47.651910775, -122.321288855),,,,
43300,10000286289,2010286289,062,BICYCLE THEFT,THEFT,BIKE,08,16,2010,09:16:00,24XX BLOCK OF AURORA AVE N,Q,Q2,6000.4020,-122.346642851,47.641419742,(47.641419742, -122.346642851),,,,
43600,10000286877,2010286877,062,BICYCLE THEFT,THEFT,BIKE,08,17,2010,08:44:00,42XX BLOCK OF WHITMAN AVE N,J,J3,5000.3023,-122.345639399,47.659126034,(47.659126034, -122.345639399),,,,
43646,10000286957,2010286957,062,BICYCLE THEFT,THEFT,BIKE,08,17,2010,10:05:00,62XX BLOCK OF PHINNEY AVE N,B,B3,3500.5018,-122.354365751,47.674217712,(47.674217712, -122.354365751),,,,
43831,10000264793,2010264793,062,BICYCLE THEFT,THEFT,BIKE,07,31,2010,04:32:00,9XX BLOCK OF E JOHN ST,E,E1,7500.5004,-122.320206092,47.619912475,(47.619912475, -122.320206092),,,,
43902,10000287393,2010287393,062,BICYCLE THEFT,THEFT,BIKE,08,17,2010,05:39:00,17XX BLOCK OF BROADWAY,E,E1,8400.1000,-122.320826476,47.616987304,(47.616987304, -122.320826476),,,,
44146,10000287478,2010287478,062,BICYCLE THEFT,THEFT,BIKE,08,17,2010,08:34:00,3XX BLOCK OF E THOMAS ST,E,E1,7400.7005,-122.327219799,47.620828886,(47.620828886, -122.327219799),,,,
44391,10000286840,2010286840,062,BICYCLE THEFT,THEFT,BIKE,08,17,2010,08:04:00,14XX BLOCK OF N 52ND ST,J,J1,4600.1021,-122.339283465,47.666417951,(47.666417951, -122.339283465),,,,
44667,10000288545,2010288545,062,BICYCLE THEFT,THEFT,BIKE,08,18,2010,04:49:00,3XX BLOCK OF E ROY ST,E,E1,7400.7003,-122.327245116,47.625119028,(47.625119028, -122.327245116),,,,
44685,10000288430,2010288430,062,BICYCLE THEFT,THEFT,BIKE,08,18,2010,04:40:00,86XX BLOCK OF 8TH AVE S,F,F3,11200.3014,-122.322922652,47.526040342,(47.526040342, -122.322922652),,,,
45449,10000289711,2010289711,062,BICYCLE THEFT,THEFT,BIKE,08,19,2010,01:40:00,45XX BLOCK OF UNIVERSITY WAY NE,U,U3,5301.2009,-122.313115706,47.662180577,(47.662180577, -122.313115706),,,,
45720,10000290098,2010290098,062,BICYCLE THEFT,THEFT,BIKE,08,19,2010,08:03:00,65XX BLOCK OF 12TH AVE NE,U,U1,2600.3008,-122.315664074,47.676198091,(47.676198091, -122.315664074),,,,
45790,10000290155,2010290155,062,BICYCLE THEFT,THEFT,BIKE,08,19,2010,08:21:00,2XX BLOCK OF 16TH AVE E,C,C2,7600.3008,-122.311390477,47.620087927,(47.620087927, -122.311390477),,,,
45892,10000290194,2010290194,062,BICYCLE THEFT,THEFT,BIKE,08,19,2010,08:36:00,16XX BLOCK OF 14TH AVE,C,C2,7500.2008,-122.314251699,47.615866441,(47.615866441, -122.314251699),,,,
46272,10000290742,2010290742,062,BICYCLE THEFT,THEFT,BIKE,08,20,2010,09:58:00,26XX BLOCK OF MARINE AVE SW,W,W1,9701.1004,-122.407054574,47.579983562,(47.579983562, -122.407054574),,,,
47179,10000292330,2010292330,062,BICYCLE THEFT,THEFT,BIKE,08,21,2010,11:33:00,25XX BLOCK OF N 45TH ST,J,J3,5100.1007,-122.328615041,47.661361498,(47.661361498, -122.328615041),,,,
47866,10000293384,2010293384,062,BICYCLE THEFT,THEFT,BIKE,08,22,2010,07:06:00,10XX BLOCK OF JAMES ST,E,E2,8500.2004,-122.323085449,47.606250964,(47.606250964, -122.323085449),,,,
48006,10000293689,2010293689,062,BICYCLE THEFT,THEFT,BIKE,08,22,2010,03:06:00,125XX BLOCK OF 28TH AVE NE,L,L1,200.2009,-122.297711142,47.720184598,(47.720184598, -122.297711142),,,,
48061,10000293608,2010293608,062,BICYCLE THEFT,THEFT,BIKE,08,22,2010,01:17:00,17XX BLOCK OF 15TH AVE,C,C2,7900.5006,-122.312756589,47.617041248,(47.617041248, -122.312756589),,,,
48204,10000293784,2010293784,062,BICYCLE THEFT,THEFT,BIKE,08,22,2010,04:54:00,16XX BLOCK OF 15TH AVE,G,G1,7900.4002,-122.312763698,47.61586878,(47.61586878, -122.312763698),,,,
48220,10000293591,2010293591,062,BICYCLE THEFT,THEFT,BIKE,08,22,2010,07:11:00,12XX BLOCK OF SW OTHELLO ST,F,F1,10800.1009,-122.352729921,47.537300036,(47.537300036, -122.352729921),,,,
48976,10000295093,2010295093,062,BICYCLE THEFT,THEFT,BIKE,08,23,2010,07:20:00,13XX BLOCK OF E UNION ST,E,E2,7500.4015,-122.314824218,47.612912717,(47.612912717, -122.314824218),,,,
48996,10000295064,2010295064,062,BICYCLE THEFT,THEFT,BIKE,08,23,2010,07:35:00,23XX BLOCK OF FRANKLIN AVE E,C,C1,6100.4009,-122.324675883,47.640878399,(47.640878399, -122.324675883),,,,
49087,10000295116,2010295116,062,BICYCLE THEFT,THEFT,BIKE,08,23,2010,07:49:00,8XX BLOCK OF E ALLISON ST,C,C1,6100.1009,-122.321428776,47.64871009,(47.64871009, -122.321428776),,,,
49137,10000295334,2010295334,062,BICYCLE THEFT,THEFT,BIKE,08,23,2010,10:45:00,41XX BLOCK OF UNIVERSITY WAY NE,U,U2,5301.4000,-122.313226588,47.657574535,(47.657574535, -122.313226588),,,,
49594,10000292390,2010292390,062,BICYCLE THEFT,THEFT,BIKE,08,21,2010,02:12:00,6XX BLOCK OF 17TH AVE E,C,C1,7600.4002,-122.309992808,47.624839742,(47.624839742, -122.309992808),,,,
49645,10000295985,2010295985,062,BICYCLE THEFT,THEFT,BIKE,08,24,2010,03:17:00,2XX BLOCK OF 5TH AVE S,K,K2,9200.1004,-122.327661525,47.600453703,(47.600453703, -122.327661525),,,,
50526,10000297347,2010297347,062,BICYCLE THEFT,THEFT,BIKE,08,25,2010,04:11:00,10XX BLOCK OF E TERRACE ST,E,E3,8600.2006,-122.318760341,47.605200348,(47.605200348, -122.318760341),,,,
50612,10000296992,2010296992,062,BICYCLE THEFT,THEFT,BIKE,08,25,2010,04:07:00,117XX BLOCK OF AURORA AVE N,N,N1,600.3005,-122.344896102,47.717174471,(47.717174471, -122.344896102),,,,
50619,10000296120,2010296120,062,BICYCLE THEFT,THEFT,BIKE,08,24,2010,04:12:00,2XX BLOCK OF YALE AVE N,D,D2,7300.1019,-122.330420412,47.620244346,(47.620244346, -122.330420412),,,,
50696,10000297511,2010297511,062,BICYCLE THEFT,THEFT,BIKE,08,25,2010,07:17:00,17XX BLOCK OF S LUCILE ST,O,O3,10400.4007,-122.310476442,47.553430529,(47.553430529, -122.310476442),,,,
51646,10000298818,2010298818,062,BICYCLE THEFT,THEFT,BIKE,08,26,2010,06:16:00,28XX BLOCK OF BEACON AVE S,O,O1,10000.5014,-122.311207663,47.578205821,(47.578205821, -122.311207663),,,,
51651,10000298854,2010298854,062,BICYCLE THEFT,THEFT,BIKE,08,26,2010,06:25:00,14XX BLOCK OF 5TH AVE,K,K1,8100.2008,-122.335119807,47.610181663,(47.610181663, -122.335119807),,,,
52434,10000299875,2010299875,062,BICYCLE THEFT,THEFT,BIKE,08,27,2010,03:24:00,13XX BLOCK OF ALASKAN WAY,M,M3,8100.1027,-122.340873666,47.606406978,(47.606406978, -122.340873666),,,,
52687,10000300255,2010300255,062,BICYCLE THEFT,THEFT,BIKE,08,27,2010,09:13:00,22XX BLOCK OF E LAKE WASHINGTON BLVD,C,C3,6200.1009,-122.303075133,47.64411742,(47.64411742, -122.303075133),,,,
52778,10000300223,2010300223,062,BICYCLE THEFT,THEFT,BIKE,08,27,2010,09:34:00,28XX BLOCK OF 4TH AVE,M,M1,7200.1054,-122.348949037,47.618461774,(47.618461774, -122.348949037),,,,
54277,10000302354,2010302354,062,BICYCLE THEFT,THEFT,BIKE,08,29,2010,05:43:00,4XX BLOCK OF 14TH AVE E,C,C2,7500.1004,-122.314663141,47.622532143,(47.622532143, -122.314663141),,,,
54759,10000303101,2010303101,062,BICYCLE THEFT,THEFT,BIKE,08,30,2010,09:55:00,17XX BLOCK OF BROADWAY,E,E1,7500.5010,-122.320826476,47.616987304,(47.616987304, -122.320826476),,,,
54806,10000303200,2010303200,062,BICYCLE THEFT,THEFT,BIKE,08,30,2010,12:03:00,75XX BLOCK OF 14TH AVE NE,U,U1,2600.4001,-122.31319025,47.68396941,(47.68396941, -122.31319025),,,,
54976,10000303541,2010303541,062,BICYCLE THEFT,THEFT,BIKE,08,30,2010,04:43:00,7XX BLOCK OF 7TH AVE,D,D3,8500.1018,-122.327950531,47.605696749,(47.605696749, -122.327950531),,,,
56909,10000306418,2010306418,062,BICYCLE THEFT,THEFT,BIKE,09,01,2010,08:19:00,8XX BLOCK OF BOYLSTON AVE,E,E2,8400.2011,-122.32095784,47.609796815,(47.609796815, -122.32095784),,,,
57111,10000306524,2010306524,062,BICYCLE THEFT,THEFT,BIKE,09,01,2010,10:47:00,73XX BLOCK OF 35TH AVE NE,L,L3,3900.4004,-122.290453259,47.682140148,(47.682140148, -122.290453259),,,,
57443,10000301073,2010301073,062,BICYCLE THEFT,THEFT,BIKE,08,28,2010,04:05:00,2XX BLOCK OF BELMONT AVE E,E,E1,7400.3002,-122.324014478,47.620251654,(47.620251654, -122.324014478),,,,
57674,10000307229,2010307229,062,BICYCLE THEFT,THEFT,BIKE,09,02,2010,01:08:00,73XX BLOCK OF 12TH AVE NE,U,U1,2600.4005,-122.315330833,47.682309467,(47.682309467, -122.315330833),,,,
58495,10000308418,2010308418,062,BICYCLE THEFT,THEFT,BIKE,09,03,2010,10:28:00,42XX BLOCK OF SW ADMIRAL WAY,W,W1,9600.2014,-122.385859129,47.581190716,(47.581190716, -122.385859129),,,,
58863,10000308946,2010308946,062,BICYCLE THEFT,THEFT,BIKE,09,03,2010,06:19:00,14XX BLOCK OF 12TH AVE,E,E2,7500.4011,-122.316784619,47.613496502,(47.613496502, -122.316784619),,,,
59007,10000308902,2010308902,062,BICYCLE THEFT,THEFT,BIKE,09,03,2010,09:36:00,5XX BLOCK OF WALL ST,M,M1,7200.2004,-122.344881696,47.61768872,(47.61768872, -122.344881696),,,,
59347,10000309770,2010309770,062,BICYCLE THEFT,THEFT,BIKE,09,04,2010,11:20:00,5XX BLOCK OF 5TH AVE S,K,K2,9300.2000,-122.327672937,47.597936288,(47.597936288, -122.327672937),,,,
60226,10000311071,2010311071,062,BICYCLE THEFT,THEFT,BIKE,09,05,2010,12:18:00,2XX BLOCK OF BELL ST,M,M2,8001.2008,-122.345223492,47.614372206,(47.614372206, -122.345223492),,,,
61053,10000312254,2010312254,062,BICYCLE THEFT,THEFT,BIKE,09,06,2010,12:50:00,20XX BLOCK OF 1ST AVE,M,M3,8002.1005,-122.3432623,47.611452758,(47.611452758, -122.3432623),,,,
62074,10000313871,2010313871,062,BICYCLE THEFT,THEFT,BIKE,09,07,2010,07:13:00,16XX BLOCK OF NAGLE PL,E,E1,7500.5010,-122.320034811,47.616409048,(47.616409048, -122.320034811),,,,
62234,10000313867,2010313867,062,BICYCLE THEFT,THEFT,BIKE,09,07,2010,08:49:00,43XX BLOCK OF S HUDSON ST,R,R3,10300.1013,-122.279042814,47.557033252,(47.557033252, -122.279042814),,,,
62612,10000297495,2010297495,062,BICYCLE THEFT,THEFT,BIKE,08,25,2010,05:22:00,29XX BLOCK OF WESTERN AVE,M,M1,8001.3004,-122.35402758,47.616643611,(47.616643611, -122.35402758),,,,
62627,10000314462,2010314462,062,BICYCLE THEFT,THEFT,BIKE,09,08,2010,08:57:00,17XX BLOCK OF HARVARD AVE,E,E1,7400.4005,-122.322158307,47.616978426,(47.616978426, -122.322158307),,,,
62819,10000314849,2010314849,062,BICYCLE THEFT,THEFT,BIKE,09,08,2010,03:36:00,20XX BLOCK OF 1ST AVE,M,M3,8002.1004,-122.3432623,47.611452758,(47.611452758, -122.3432623),,,,
63929,10000316346,2010316346,062,BICYCLE THEFT,THEFT,BIKE,09,09,2010,07:19:00,15XX BLOCK OF WESTLAKE AVE N,D,D1,6700.1001,-122.340524479,47.633593636,(47.633593636, -122.340524479),,,,
